id,uname,request,details,room,status,created_at,priority
1,Reorio,Request Amenities,towel: 1,210,Pending,2025-03-08 13:32:57,Low
2,Reorio,Housekeeping,Full Cleaning | may ipis ilalim ng kama,210,Pending,2025-03-08 13:49:27,Medium
3,Shekka,Order Food,Burger and Fries,305,Pending,2025-03-08 14:05:10,Low
4,Juan,Housekeeping,Change Bedsheets,102,Pending,2025-03-08 14:10:45,High
5,Ana,Request Amenities,extra pillow,407,Pending,2025-03-08 14:20:30,Medium
6,Miguel,Housekeeping,Bathroom Cleaning,110,Pending,2025-03-08 14:30:15,Medium
7,Carlos,Request Amenities,water bottle: 2,215,Pending,2025-03-08 14:40:00,High
8,Karen,Order Food,Pasta and Juice,502,Pending,2025-03-08 14:50:25,High
9,Dave,Housekeeping,Vacuum Floor,202,Pending,2025-03-08 15:00:10,Low
10,Lisa,Request Amenities,soap and shampoo,308,Pending,2025-03-08 15:10:00,Medium
11,Guest11,Request Amenities,Random task details,502,Pending,2025-03-08 16:00:00,Low
12,Guest12,Order Food,Random task details,337,Pending,2025-03-08 16:00:00,Medium
13,Guest13,Request Amenities,Random task details,263,Pending,2025-03-08 16:00:00,Medium
14,Guest14,Request Amenities,Random task details,280,Pending,2025-03-08 16:00:00,Medium
15,Guest15,Request Amenities,Random task details,395,Pending,2025-03-08 16:00:00,Low
16,Guest16,Request Amenities,Random task details,380,Pending,2025-03-08 16:00:00,Medium
17,Guest17,Housekeeping,Random task details,246,Pending,2025-03-08 16:00:00,Low
18,Guest18,Order Food,Random task details,488,Pending,2025-03-08 16:00:00,High
19,Guest19,Order Food,Random task details,252,Pending,2025-03-08 16:00:00,High
20,Guest20,Request Amenities,Random task details,382,Pending,2025-03-08 16:00:00,Low
